window_id,window_name,current_role,target_role,keep_top_level,open_rule,user_goal,problem,fix
W-001,Главный shell проекта,overloaded_primary,primary_shell,yes,открывается при запуске всегда,зайти в основной маршрут проекта,слишком много почти равноправных дверей на первом экране,показывать один доминирующий маршрут из 8 шагов и понижать вторичные окна
W-002,Редактор исходных данных,weak_primary_signal,primary_workspace,yes,открывается из первого шага маршрута,задать и изменить master-copy входов,не всегда читается как главный редактор исходных данных,прямо подписать как главный источник входных данных и первая рабочая поверхность
W-003,Редактор кольца / сценариев,visible_but_weak,primary_workspace,yes,второй шаг маршрута после исходных данных,задать сценарии и дорогу,"по канону должен доминировать сильнее, чем виден сейчас",сделать top-level сценарным центром с явной ролью единственного источника сценариев
W-004,Центр тестов,weak_primary_signal,primary_workspace,yes,третий шаг маршрута после сценариев,собрать набор испытаний из сценарного источника,"слабо показано, что это consumer сценариев, а не второй сценарный редактор",явно связать с Редактором кольца и показать как шаг после сценариев
W-005,Базовый прогон,part_of_heavy_home,primary_workspace,yes,четвёртый шаг маршрута,получить baseline и понять исходное состояние модели,может теряться среди других действий home-surface,дать отдельную карточку baseline с явным статусом и кнопкой запуска
W-006,Оптимизация,split_between_home_and_engineering_page,primary_workspace,yes,пятый шаг маршрута,запустить рекомендуемый StageRunner или advanced distributed path,исторически дублировалась между home и отдельной страницей,на shell уровне оставить один переход в инженерный центр оптимизации и кратко объяснить два режима
W-007,Анализ результатов,understated_primary,primary_workspace,yes,шестой шаг маршрута после расчёта,понять результаты и сравнить варианты,слабая доминанта относительно отдельного Compare Viewer,закрепить встроенный compare как основной режим анализа
W-008,Desktop Animator,clear_secondary_route,specialized_top_level_after_analysis,yes,открывается после анализа или подробного прогона,смотреть движение и временной ход в отдельном окне,"само окно объяснено лучше других, но место в маршруте не всегда явно","оставить top-level специализированным окном, но запускать его из Анализа/Результата"
W-009,GUI диагностики,fragmented_primary,primary_workspace,yes,последний шаг маршрута и сквозная команда из shell,собрать диагностику и увидеть здоровье системы,конкурирует с окном отправки результатов,сделать единственным доминирующим diagnostics entrypoint
W-010,GUI отправки результатов,competes_with_diagnostics,secondary_action_inside_diagnostics,no,доступно только после готового diagnostics bundle,отправить уже собранный архив,сейчас выглядит как второй стартовый diagnostics-маршрут,перенести внутрь Diagnostics как шаг после сбора архива
W-011,Embedded compare,primary_compare_route,primary_compare_route,no,внутри Анализа результатов,быстро сравнить baseline и результаты,дублируется отдельным viewer,оставить как основной compare-режим внутри Анализа
W-012,Compare Viewer,equalized_with_embedded_compare,advanced_top_level_window,yes,открывается из Анализа как подробное сравнение,работать с большим сравнением на втором мониторе,слишком равноправен встроенному compare,"оставить отдельным окном, но ясно маркировать как расширенный режим"
W-013,Desktop Mnemo,underexplained_secondary,advanced_top_level_window,yes,из Анализа или Инструментов,дополнительная инженерная мнемосхема/телеметрия,роль окна неясна среднему пользователю,дать короткое объяснение задачи окна и понизить его приоритет на старте
W-014,Центр desktop-инструментов,service_hub_without_priority,advanced_service_hub,no,"из раздела Инструменты, не из основного маршрута",собрать дополнительные утилиты в одном месте,"неясно, зачем идти сюда в первые минуты",сделать вторичным инструментальным контейнером
