step_index,user_action,action_id,gui_feedback
1,Открыть рабочее пространство «Редактор кольца и сценариев»,UX-OPEN-RING,Видит empty-state или последний сценарий
2,Создать новый сценарий или импортировать существующий,UX-CREATE-SCENARIO,Создаётся черновик без автоселекта скрытых сущностей
3,Заполнить глобальные поля кольца,UX-EDIT-GLOBAL,"Имя, замыкание, скорость, шаг дискретизации, круги, seed, ширина дороги, начальная высота"
4,Добавить сегменты и задать их порядок,UX-BUILD-SEGMENT-LIST,Список сегментов становится основным skeleton сценарием
5,Выбрать сегмент 0,UX-SELECT-SEG0,Правый инспектор открывает старт и конец сегмента 0
6,Выбрать обычный сегмент,UX-SELECT-SEGN,Правый инспектор показывает только конечные поля и derived начало
7,"Задать геометрию, уклоны и покрытие",UX-EDIT-SEGMENT,Меняются plan/profile/crossfall preview
8,Сгенерировать предварительный просмотр,UX-GENERATE-PREVIEW,"План и профили перестраиваются, derived поля обновляются"
9,Проверить шов кольца,UX-CHECK-SEAM,Появляется явный статус ok/warning/error
10,Исправить проблемные сегменты при warning/error,UX-FIX-SEAM,Пользователь возвращается к сегментам по диагностическим ссылкам
11,Экспортировать сценарий,UX-EXPORT,"Генерируются road_csv, scenario_json и meta road segments"
12,Передать сценарий в матрицу испытаний,UX-LINK-SUITE,Создаётся или обновляется испытание типа ring
13,Открыть WS-SUITE и проверить связь,UX-VERIFY-SUITE-LINK,"Видно, что сценарий связан ссылкой, а не дублирован"
14,Запустить baseline/optimization по связанному испытанию,UX-RUN-PIPELINE,Кольцевой сценарий становится consumer для baseline/optimization
