id,название,условие
ACC-001,Нет скрытых legacy/expert-маршрутов,Любой рабочий экран доступен из правильного места; любой неготовый экран помечен «В разработке» и имеет banner.
ACC-002,Один канонический редактор сценариев,Все пользовательские дорожные сценарии создаются и изменяются только через редактор кольца.
ACC-003,Одна заметная диагностика,Пользователь собирает полный диагностический пакет одной командой; все настройки диагностики находятся в UI.
ACC-004,Подсказки и помощь,У каждого интерактивного элемента есть короткий tooltip и развёрнутая справка по «?».
ACC-005,Единицы измерения,"На экране нет числовых значений без единиц измерения или явной пометки, что это безразмерный показатель."
ACC-006,Графическое представление входных данных,Каждая крупная группа входов имеет связанное графическое представление.
ACC-007,Прогресс виден на месте,Любой длительный расчёт показывает прогресс на текущем видимом экране.
ACC-008,Один активный режим оптимизации,На solve-center одновременно активен только один маршрут запуска и одна главная кнопка запуска.
ACC-009,Objective contract видим,"Для каждого run видны objective stack, hard gate, baseline source и история с тем же контрактом."
ACC-010,Честная графика,Любая условная или неполная графика явно помечена; подтверждённая и условная графика не смешиваются молча.
ACC-011,Персистентность состояния,"Переход между экранами, обновление или повторный запуск не теряют введённые значения."
ACC-012,Никакой loss of functionality при миграции,Матрица соответствия web-функций и desktop-функций заполнена; ни одна рабочая функция не исчезла без явной пометки «В разработке» и плана возврата.
ACC-013,Desktop-native layout,"Окно поддерживает dock/floating/auto-hide panes, multi-monitor и PMv2 DPI."
ACC-014,Keyboard parity,"Всё, что можно нажать мышью, можно выполнить клавиатурой."
ACC-015,Управляемость служебных настроек,"Служебные настройки доступны через «Параметры/Настройки/Инструменты» и поиск команд, но не перегружают основной workflow."
ACC-016,Truth-banner в аниматоре,"Аниматор всегда показывает режим достоверности: расчётный вид, вид по исходным данным или условный вид по неполным данным."
ACC-017,Docking и second monitor,"Левая и правая панели, а также окно аниматора могут быть прикреплены, откреплены или вынесены на второй монитор без потери состояния."
ACC-018,Resize и reflow,"При размерах 1920×1080, 1600×900, 1366×768 и snap-режимах 1/2, 1/3 и 1/4 окно остаётся функциональным, а главная рабочая поверхность не перекрывается модальными каскадами."
ACC-019,Системные скроллбары и splitter-ы,Скроллбары и splitter-ы остаются системными и видимыми при переполнении; скрытие переполненного контента без скроллинга запрещено.
ACC-020,High-DPI и mixed-DPI,Интерфейс остаётся чётким и без bitmap-stretch при переносе между мониторами с разным масштабом точек на дюйм; floating окна не расползаются.
ACC-021,Контраст и UI Automation,"Текст, статусы и фокус удовлетворяют контрасту, а интерактивные элементы имеют доступные имя, роль и значение."
ACC-022,Run-monitor объясняет underfill и gate reasons,"При staged run пользователь видит underfill, gate reasons и promotion reasons на текущем экране, а не только в CSV или логах."
ACC-023,No feature loss matrix закрыта,"Все обязательные web-функции из матрицы миграции доступны в desktop-маршруте, либо отмечены «В разработке» с явным временным путём."
ACC-024,В каждом экране виден следующий шаг,"Пользователь без обращения к документации понимает главное действие текущего шага по shell, message bar и step bar."
ACC-025,Нет немых пустых состояний,"Сценарии, результаты, baseline, diagnostics и animator degraded state имеют осмысленные тексты и явные действия."
ACC-026,Source-of-truth не дублируется,"Каждый домен данных имеет одно редактируемое место и набор производных представлений, зафиксированный в матрице источников истины."
ACC-027,Контракт цели и жёсткого ограничения прозрачен,"Изменение objective stack или hard gate видно в banner, history и run identity."
ACC-028,Разделение shell и service clutter,"Служебные действия убраны в Параметры/Настройки/Инструменты, но остаются доступны через поиск команд; заметной всегда остаётся только диагностика."
ACC-029,Сплиттеры и скроллбары не скрывают контент,При resize и snap все интерактивные элементы доступны через splitters и системные scrollbars без перекрытия статуса.
